id_origem,segmento_carteira,id_roteiro_gerado,valor_evento
1,FILIAL_SP,200,2774.8
3,FILIAL_RJ,120,1313.71
4,DISTRIBUIÇÃO,320,9790.85
5,FILIAL_RJ,140,1719.72
6,DISTRIBUIÇÃO,120,3018.04
7,DISTRIBUIÇÃO,130,2512.08
8,FILIAL_MG,120,7053.74
9,FILIAL_MG,320,6881.03
10,MATRIZ,110,5416.97
11,MATRIZ,310,1108.25
12,FILIAL_SP,320,2686.09
13,MATRIZ,230,7224.49
15,FILIAL_MG,300,9101.49
17,FILIAL_RJ,100,2761.04
18,DISTRIBUIÇÃO,100,1756.96
19,FILIAL_RJ,110,2808.47
20,MATRIZ,130,2308.89
21,FILIAL_RJ,130,3865.83
22,MATRIZ,230,7426.22
23,MATRIZ,300,7418.03
24,FILIAL_RJ,100,2306.98
25,FILIAL_RJ,230,2243.14
26,FILIAL_RJ,130,9271.02
27,MATRIZ,320,8631.69
28,MATRIZ,310,9993.18
29,FILIAL_RJ,130,2079.96
30,MATRIZ,230,8714.18
31,FILIAL_RJ,210,520.48
32,FILIAL_RJ,130,7948.67
33,DISTRIBUIÇÃO,220,7117.62
34,FILIAL_SP,300,5123.38
35,DISTRIBUIÇÃO,140,9702.74
36,FILIAL_MG,400,1079.1
38,DISTRIBUIÇÃO,100,6049.69
39,DISTRIBUIÇÃO,410,1995.61
40,DISTRIBUIÇÃO,400,2265.34
41,FILIAL_RJ,120,8687.28
42,FILIAL_SP,320,8957.73
43,MATRIZ,210,877.55
44,DISTRIBUIÇÃO,200,6044.89
45,FILIAL_MG,140,2977.27
46,FILIAL_MG,120,4259.97
47,MATRIZ,130,9325.67
48,DISTRIBUIÇÃO,400,6401.01
49,DISTRIBUIÇÃO,110,5607.53
50,MATRIZ,110,9365.96
51,FILIAL_RJ,300,3207.38
52,DISTRIBUIÇÃO,200,6310.94
53,FILIAL_MG,110,8262.49
54,FILIAL_SP,110,9419.84
55,DISTRIBUIÇÃO,410,8952.27
56,FILIAL_SP,200,3176.68
57,FILIAL_MG,300,2434.17
58,MATRIZ,140,2885.65
59,FILIAL_MG,400,4523.97
60,FILIAL_SP,100,3668.79
61,FILIAL_RJ,320,2988.57
62,MATRIZ,220,4563.03
63,FILIAL_SP,230,9477.98
64,DISTRIBUIÇÃO,110,8428.65
65,MATRIZ,210,4582.97
66,MATRIZ,110,9040.32
67,MATRIZ,130,6979.63
68,FILIAL_RJ,140,5818.89
69,FILIAL_SP,120,9294.76
70,MATRIZ,120,8873.45
71,FILIAL_RJ,300,9282.63
72,FILIAL_SP,410,8708.61
73,MATRIZ,200,7980.06
74,FILIAL_RJ,300,867.88
75,FILIAL_RJ,130,8257.57
76,FILIAL_SP,320,8295.1
77,FILIAL_RJ,110,6770.32
78,FILIAL_MG,100,8711.35
79,DISTRIBUIÇÃO,310,5339.35
80,FILIAL_MG,130,762.21
81,FILIAL_MG,400,9644.08
82,FILIAL_MG,140,6167.43
83,DISTRIBUIÇÃO,110,3479.93
84,DISTRIBUIÇÃO,110,4159.36
85,FILIAL_RJ,130,921.67
86,DISTRIBUIÇÃO,410,9292.96
87,FILIAL_SP,110,9432.5
88,FILIAL_MG,210,1164.75
89,MATRIZ,140,6802.18
90,FILIAL_MG,220,3353.06
92,FILIAL_MG,410,3598.74
93,FILIAL_RJ,200,2322.48
94,DISTRIBUIÇÃO,120,9076.65
95,MATRIZ,200,4357.71
96,DISTRIBUIÇÃO,200,2496.74
97,FILIAL_RJ,130,3561.37
98,FILIAL_RJ,310,2530.16
99,FILIAL_SP,140,9618.4
100,DISTRIBUIÇÃO,320,3195.97
