id_cenario,nome_cenario,id_roteiro_esperado
1,Processamento Folha 1,310
2,Processamento Folha 2,110
3,Processamento Folha 3,100
4,Processamento Folha 4,320
5,Processamento Folha 5,140
6,Processamento Folha 6,130
7,Processamento Folha 7,130
8,Processamento Folha 8,120
9,Processamento Folha 9,320
10,Folha Especial 10,110
11,Processamento Folha 11,310
12,Processamento Folha 12,320
13,Processamento Folha 13,230
14,Processamento Folha 14,110
15,Processamento Folha 15,300
16,Processamento Folha 16,210
17,Processamento Folha 17,100
18,Processamento Folha 18,100
19,Processamento Folha 19,110
20,Folha Especial 20,130
21,Processamento Folha 21,130
22,Processamento Folha 22,230
23,Processamento Folha 23,300
24,Processamento Folha 24,100
25,Processamento Folha 25,230
26,Processamento Folha 26,130
27,Processamento Folha 27,320
28,Processamento Folha 28,310
29,Processamento Folha 29,320
30,Folha Especial 30,230
31,Processamento Folha 31,210
32,Processamento Folha 32,130
33,Processamento Folha 33,220
34,Processamento Folha 34,300
35,Processamento Folha 35,140
36,Processamento Folha 36,400
37,Processamento Folha 37,410
38,Processamento Folha 38,100
39,Processamento Folha 39,400
40,Folha Especial 40,400
41,Processamento Folha 41,120
42,Processamento Folha 42,320
43,Processamento Folha 43,210
44,Processamento Folha 44,200
45,Processamento Folha 45,140
46,Processamento Folha 46,120
47,Processamento Folha 47,130
48,Processamento Folha 48,400
49,Processamento Folha 49,200
50,Folha Especial 50,110
51,Processamento Folha 51,110
52,Processamento Folha 52,210
53,Processamento Folha 53,110
54,Processamento Folha 54,200
55,Processamento Folha 55,410
56,Processamento Folha 56,200
57,Processamento Folha 57,300
58,Processamento Folha 58,140
59,Processamento Folha 59,400
60,Folha Especial 60,100
61,Processamento Folha 61,320
62,Processamento Folha 62,220
63,Processamento Folha 63,230
64,Processamento Folha 64,110
65,Processamento Folha 65,210
66,Processamento Folha 66,110
67,Processamento Folha 67,230
68,Processamento Folha 68,140
69,Processamento Folha 69,410
70,Folha Especial 70,310
71,Processamento Folha 71,300
72,Processamento Folha 72,410
73,Processamento Folha 73,200
74,Processamento Folha 74,300
75,Processamento Folha 75,130
76,Processamento Folha 76,320
77,Processamento Folha 77,110
78,Processamento Folha 78,100
79,Processamento Folha 79,310
80,Folha Especial 80,130
81,Processamento Folha 81,400
82,Processamento Folha 82,140
83,Processamento Folha 83,110
84,Processamento Folha 84,410
85,Processamento Folha 85,130
86,Processamento Folha 86,410
87,Processamento Folha 87,110
88,Processamento Folha 88,210
89,Processamento Folha 89,140
90,Folha Especial 90,220
91,Processamento Folha 91,310
92,Processamento Folha 92,410
93,Processamento Folha 93,200
94,Processamento Folha 94,120
95,Processamento Folha 95,200
96,Processamento Folha 96,200
97,Processamento Folha 97,130
98,Processamento Folha 98,310
99,Processamento Folha 99,140
100,Folha Especial 100,320
